epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.179473,0.458838,1.599277,0.577901,75.752,14.909,cuda
2,1.468664,0.616383,1.283201,0.657782,43.583,12.455,cuda
3,1.231918,0.671842,1.144615,0.689505,41.811,12.438,cuda
4,1.083572,0.705558,1.102024,0.703881,43.621,12.732,cuda
5,0.948750,0.739116,1.039058,0.717505,43.686,11.779,cuda
6,0.843453,0.765479,1.020828,0.730455,43.731,12.103,cuda
7,0.746510,0.788185,1.043674,0.727089,43.874,12.943,cuda
8,0.660645,0.809307,1.012447,0.734891,42.543,12.995,cuda
9,0.584752,0.828845,1.048125,0.735564,44.170,11.787,cuda
10,0.522204,0.844990,1.090011,0.731881,44.227,11.633,cuda
11,0.468544,0.859168,1.073676,0.737545,44.264,12.796,cuda
12,0.411987,0.873848,1.107802,0.736871,43.427,13.201,cuda
13,0.373255,0.885769,1.131819,0.737941,45.836,13.441,cuda
14,0.342316,0.895393,1.159499,0.735960,43.111,12.947,cuda
15,0.313532,0.902851,1.201195,0.730653,43.607,12.585,cuda
16,0.281267,0.912132,1.225355,0.733505,44.879,12.565,cuda
17,0.269723,0.914416,1.245885,0.732079,43.763,13.508,cuda
18,0.244084,0.921888,1.246375,0.736317,41.845,13.238,cuda
19,0.225391,0.928594,1.308362,0.730812,42.582,13.040,cuda
20,0.219991,0.929413,1.342700,0.731683,42.306,12.241,cuda
