epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.757787,0.567406,0.915735,0.749030,77.148,19.081,cuda
2,0.928718,0.752488,0.789134,0.779604,38.793,12.893,cuda
3,0.692090,0.809149,0.721191,0.798218,40.998,10.618,cuda
4,0.534715,0.849175,0.728675,0.801426,40.770,10.674,cuda
5,0.426204,0.877360,0.736785,0.801465,40.932,12.715,cuda
6,0.334019,0.901452,0.756460,0.800515,38.761,12.845,cuda
7,0.275015,0.918073,0.795845,0.797109,40.981,10.900,cuda
8,0.232152,0.930376,0.810735,0.797941,40.846,12.693,cuda
9,0.197375,0.939327,0.842923,0.796871,38.882,12.835,cuda
10,0.177872,0.945320,0.861128,0.794891,40.744,10.825,cuda
11,0.160026,0.950007,0.870261,0.796871,41.013,12.650,cuda
12,0.147881,0.954191,0.884915,0.798574,39.779,11.163,cuda
13,0.132199,0.957531,0.906439,0.794851,41.154,10.612,cuda
14,0.122808,0.960898,0.914471,0.799248,40.781,12.687,cuda
15,0.125019,0.959921,0.909024,0.796634,38.656,12.675,cuda
16,0.111189,0.963842,0.943408,0.797347,40.652,10.707,cuda
17,0.111302,0.964726,0.950860,0.796475,41.000,12.724,cuda
18,0.104774,0.965914,0.950134,0.800950,38.891,13.457,cuda
19,0.101734,0.967564,0.965003,0.794733,38.793,12.970,cuda
20,0.095912,0.969769,0.979784,0.795802,40.797,10.992,cuda
