epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.856402,0.544488,0.920683,0.751248,68.874,15.686,cuda
2,1.048259,0.721426,0.764871,0.787129,39.002,12.470,cuda
3,0.838790,0.771881,0.719428,0.797663,41.001,10.326,cuda
4,0.698544,0.805254,0.700752,0.807644,40.858,12.574,cuda
5,0.590533,0.833017,0.706801,0.808198,39.198,12.593,cuda
6,0.510786,0.852462,0.700554,0.811287,40.640,10.443,cuda
7,0.443900,0.870323,0.714824,0.808475,41.375,10.326,cuda
8,0.381019,0.887393,0.723318,0.812396,40.788,12.731,cuda
9,0.347769,0.897861,0.733058,0.812158,38.923,12.875,cuda
10,0.303934,0.907168,0.762814,0.807960,41.506,10.809,cuda
11,0.274832,0.915076,0.763769,0.808634,41.526,10.386,cuda
12,0.248450,0.923116,0.780653,0.808634,40.928,12.752,cuda
13,0.228416,0.928700,0.807962,0.808198,39.203,12.878,cuda
14,0.211347,0.933954,0.805282,0.808792,40.937,10.285,cuda
15,0.197185,0.938931,0.812058,0.810772,41.021,12.458,cuda
16,0.185196,0.941320,0.836917,0.807683,38.634,12.702,cuda
17,0.175857,0.945254,0.849394,0.808911,40.765,10.249,cuda
18,0.169535,0.945822,0.868937,0.807208,40.810,10.354,cuda
19,0.157546,0.949254,0.880472,0.808752,41.213,13.187,cuda
20,0.154160,0.951182,0.876744,0.806337,38.569,12.551,cuda
