epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.837507,0.549716,0.921509,0.749584,79.693,13.864,cuda
2,1.022227,0.727168,0.770644,0.786099,46.876,12.801,cuda
3,0.813308,0.777914,0.715051,0.801228,46.786,12.659,cuda
4,0.673321,0.812238,0.692134,0.807287,47.428,12.769,cuda
5,0.563050,0.839551,0.693726,0.808436,48.812,10.392,cuda
6,0.477139,0.863485,0.712910,0.809901,47.624,11.247,cuda
7,0.412715,0.878482,0.718258,0.807881,47.756,11.916,cuda
8,0.359762,0.893228,0.732486,0.810416,47.656,11.859,cuda
9,0.316589,0.904422,0.741343,0.809307,47.866,12.163,cuda
10,0.276719,0.916290,0.751914,0.810851,47.613,12.003,cuda
11,0.254528,0.922310,0.754392,0.811129,47.910,11.973,cuda
12,0.231574,0.928449,0.809118,0.804792,47.945,11.964,cuda
13,0.212499,0.934112,0.788542,0.809030,47.717,12.498,cuda
14,0.199994,0.937756,0.828352,0.802653,51.231,12.709,cuda
15,0.178864,0.943512,0.843624,0.806891,49.228,12.396,cuda
16,0.178490,0.944224,0.840911,0.803723,50.283,12.344,cuda
17,0.169239,0.946719,0.848334,0.805980,48.793,12.263,cuda
18,0.153448,0.952343,0.849344,0.811644,50.406,12.419,cuda
19,0.152947,0.951010,0.855075,0.804911,50.121,12.457,cuda
20,0.143762,0.954561,0.876318,0.806020,50.397,12.087,cuda
