epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,1.883921,0.537716,0.911287,0.755010,79.342,14.667,cuda
2,1.093260,0.710403,0.769068,0.783881,49.842,12.168,cuda
3,0.882164,0.761452,0.693069,0.806772,49.408,12.008,cuda
4,0.757134,0.790535,0.686416,0.810178,49.709,11.761,cuda
5,0.653548,0.817030,0.668764,0.813901,49.390,11.784,cuda
6,0.573660,0.836040,0.659195,0.819762,49.708,12.080,cuda
7,0.506817,0.854917,0.677917,0.817861,49.501,11.795,cuda
8,0.460522,0.866178,0.681220,0.820079,48.497,11.645,cuda
9,0.415194,0.879221,0.692006,0.819406,48.537,11.699,cuda
10,0.377979,0.888792,0.710589,0.817782,49.159,11.705,cuda
11,0.349273,0.895644,0.729267,0.811485,48.204,11.738,cuda
12,0.320306,0.903366,0.731540,0.818574,49.271,11.712,cuda
13,0.296395,0.911380,0.742450,0.815960,48.703,11.699,cuda
14,0.285544,0.912911,0.740765,0.820198,49.323,11.890,cuda
15,0.260232,0.920462,0.790782,0.810653,48.895,12.077,cuda
16,0.251652,0.922548,0.785334,0.815010,49.158,11.725,cuda
17,0.236819,0.927591,0.801613,0.810812,48.881,12.171,cuda
18,0.228739,0.930310,0.818437,0.813426,48.874,12.118,cuda
19,0.221567,0.932422,0.795744,0.816911,50.186,12.224,cuda
20,0.206605,0.936066,0.801406,0.816396,49.626,11.546,cuda
