epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.005104,0.509914,0.924547,0.748832,72.423,14.323,cuda
2,1.204963,0.682139,0.789566,0.781545,41.668,11.814,cuda
3,0.993071,0.732581,0.724616,0.798970,43.343,12.204,cuda
4,0.862120,0.762640,0.690986,0.808475,43.298,11.943,cuda
5,0.762460,0.789109,0.701960,0.808000,41.967,12.074,cuda
6,0.683845,0.806957,0.696362,0.808040,42.227,11.894,cuda
7,0.613942,0.825083,0.675511,0.816238,41.848,11.836,cuda
8,0.565632,0.837624,0.684557,0.813426,41.663,11.685,cuda
9,0.513972,0.851881,0.703436,0.811485,41.702,11.976,cuda
10,0.466330,0.862838,0.731253,0.808554,41.732,11.853,cuda
11,0.443860,0.867591,0.719561,0.814535,41.450,11.916,cuda
12,0.413405,0.877941,0.741656,0.810297,41.403,12.114,cuda
13,0.385413,0.884251,0.752173,0.808356,42.030,11.673,cuda
14,0.363775,0.891987,0.748580,0.809980,42.408,12.215,cuda
15,0.337979,0.898033,0.758939,0.812277,43.421,11.927,cuda
16,0.324021,0.901347,0.781806,0.809901,41.879,11.676,cuda
17,0.314190,0.904475,0.787002,0.807485,42.736,12.018,cuda
18,0.295232,0.909703,0.802966,0.806931,42.501,11.960,cuda
19,0.282881,0.914363,0.809130,0.807485,41.534,11.748,cuda
20,0.269604,0.916832,0.817103,0.807762,41.074,11.738,cuda
