epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.034827,0.510284,0.948930,0.740554,90.267,17.554,cuda
2,1.097597,0.711762,0.782094,0.786178,48.205,12.162,cuda
3,0.868914,0.765426,0.704666,0.805267,48.699,12.003,cuda
4,0.724737,0.799934,0.672371,0.810455,48.524,12.457,cuda
5,0.611367,0.828383,0.673511,0.811604,48.134,12.169,cuda
6,0.526474,0.851102,0.666855,0.817307,48.179,11.944,cuda
7,0.451794,0.869413,0.663829,0.820475,48.377,12.321,cuda
8,0.401337,0.884290,0.683369,0.816277,49.901,12.220,cuda
9,0.350112,0.898640,0.695848,0.818495,48.030,11.806,cuda
10,0.315883,0.906363,0.707304,0.816515,47.936,12.128,cuda
11,0.285382,0.915525,0.715575,0.818614,47.956,12.004,cuda
12,0.261366,0.922587,0.726198,0.815644,48.576,12.507,cuda
13,0.241148,0.928818,0.736556,0.817149,47.767,12.020,cuda
14,0.225936,0.933426,0.760258,0.814772,48.846,12.504,cuda
15,0.210417,0.936937,0.759745,0.816594,47.986,12.443,cuda
16,0.200520,0.939340,0.758366,0.815366,47.571,11.840,cuda
17,0.188031,0.943789,0.764143,0.814218,48.012,12.557,cuda
18,0.181094,0.945439,0.781082,0.818891,49.596,12.031,cuda
19,0.171709,0.948568,0.778068,0.817465,47.939,12.159,cuda
20,0.165688,0.949967,0.762869,0.824277,47.994,12.129,cuda
