epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.416657,0.539089,1.659173,0.752079,72.228,10.474,cuda
2,1.780688,0.715934,1.523602,0.792040,41.562,7.516,cuda
3,1.614965,0.765531,1.465853,0.808436,40.321,7.606,cuda
4,1.505077,0.798812,1.450944,0.814020,40.555,7.538,cuda
5,1.427657,0.820950,1.432778,0.817743,40.751,7.675,cuda
6,1.362661,0.842851,1.426094,0.822614,40.723,7.469,cuda
7,1.308558,0.860158,1.421484,0.820040,40.628,7.626,cuda
8,1.266189,0.874693,1.414511,0.824673,40.578,7.543,cuda
9,1.227223,0.888488,1.424306,0.820950,40.707,7.628,cuda
10,1.193797,0.899063,1.405243,0.826970,40.547,7.414,cuda
11,1.169433,0.908106,1.407801,0.826535,40.844,7.632,cuda
12,1.145593,0.916000,1.413085,0.825901,40.838,7.464,cuda
13,1.124665,0.922891,1.406840,0.826059,40.437,7.658,cuda
14,1.104233,0.928713,1.406962,0.826851,40.493,7.479,cuda
15,1.094072,0.933241,1.399905,0.828950,40.661,7.606,cuda
16,1.077697,0.938508,1.411902,0.825109,40.587,7.471,cuda
17,1.066949,0.941663,1.402425,0.825980,40.411,7.662,cuda
18,1.057778,0.943657,1.406048,0.826376,40.937,7.531,cuda
19,1.047837,0.947076,1.403439,0.826495,40.592,7.673,cuda
20,1.039482,0.950046,1.383850,0.832317,40.946,7.478,cuda
