epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.641270,0.538389,1.947600,0.755168,71.051,9.954,cuda
2,2.059363,0.714297,1.821811,0.791327,40.764,7.702,cuda
3,1.908146,0.763076,1.758678,0.811960,40.640,7.584,cuda
4,1.802942,0.797056,1.744547,0.813980,40.657,7.824,cuda
5,1.731581,0.820317,1.724742,0.818812,40.587,7.539,cuda
6,1.671698,0.840185,1.715782,0.823921,40.477,7.778,cuda
7,1.622644,0.858799,1.701381,0.825505,40.542,7.481,cuda
8,1.579584,0.872264,1.693692,0.826218,40.747,7.752,cuda
9,1.546438,0.885690,1.704878,0.823842,40.445,7.820,cuda
10,1.513540,0.897677,1.691863,0.826574,40.488,7.749,cuda
11,1.488013,0.906323,1.687853,0.828396,40.270,7.818,cuda
12,1.466495,0.914733,1.688692,0.828198,41.413,7.754,cuda
13,1.447027,0.920990,1.682166,0.831168,40.260,7.799,cuda
14,1.426031,0.928106,1.678313,0.829743,40.774,7.735,cuda
15,1.416256,0.931842,1.686006,0.830416,40.378,7.753,cuda
16,1.400934,0.935459,1.678237,0.830574,40.926,7.806,cuda
17,1.391458,0.939261,1.683494,0.828634,40.298,7.828,cuda
18,1.382070,0.942429,1.672509,0.830891,40.550,7.770,cuda
19,1.368542,0.946917,1.677451,0.828238,40.515,7.795,cuda
20,1.361814,0.949083,1.664835,0.832554,40.686,7.351,cuda
