epoch,train_loss,train_acc,val_loss,val_acc,train_time_s,val_time_s,device
1,2.640637,0.538693,1.952391,0.751287,71.183,10.100,cuda
2,2.060688,0.713888,1.826626,0.787366,40.903,7.077,cuda
3,1.908166,0.762746,1.762119,0.810614,40.887,7.659,cuda
4,1.801859,0.798007,1.743445,0.815248,40.836,7.045,cuda
5,1.731568,0.819947,1.725277,0.820713,40.930,7.568,cuda
6,1.672500,0.840726,1.708073,0.826178,40.321,7.599,cuda
7,1.624439,0.857756,1.708974,0.825663,40.883,7.695,cuda
8,1.580440,0.873545,1.700402,0.824673,40.070,7.684,cuda
9,1.544584,0.886825,1.710855,0.822376,40.910,7.626,cuda
10,1.515461,0.897861,1.688661,0.829188,40.033,7.638,cuda
11,1.489167,0.906403,1.683335,0.831208,40.551,7.769,cuda
12,1.466596,0.913875,1.699894,0.825267,40.117,7.672,cuda
13,1.448567,0.919512,1.685042,0.830297,40.706,7.701,cuda
14,1.428900,0.927921,1.670456,0.833228,40.253,7.710,cuda
15,1.417315,0.931380,1.683536,0.828515,40.694,7.731,cuda
16,1.399502,0.936898,1.678916,0.833307,40.017,7.797,cuda
17,1.392872,0.939327,1.679838,0.829624,40.732,7.073,cuda
18,1.384745,0.941888,1.673158,0.833030,40.743,7.801,cuda
19,1.371048,0.944990,1.674360,0.830495,40.915,7.014,cuda
20,1.363138,0.948554,1.663082,0.837743,40.956,7.727,cuda
